,Cond,pH,Lvl_cm,Temp_C,CO2,Cond_corr,Ca,days_since_storm,Dis_R,Q,Staff,Stage,Air_Temp
2013-09-26 04:00:00-05:00,309.577777777778,6.50651111111112,34.8863333333334,16.7436666666667,13236.6666666667,276.42676751808,50.831851066074,117,0.824058946519653,0.037089113471085,38.7736211074036,0.190297044903615,23.9
2013-09-26 05:30:00-05:00,309.1,6.52454444444443,34.8652222222222,16.7507777777778,12920,276.076694725818,50.7572737418862,117,0.811640868426709,0.036882793797167,38.7729333751572,0.189609312657224,26.65
2013-09-26 07:00:00-05:00,309,6.52499999999999,34.8476666666667,16.7488888888889,12576.6666666667,276.063922574516,50.7545528424354,117,0.797982574157608,0.036711222699911,38.7723614714997,0.189037408999702,28.3
2013-09-26 08:30:00-05:00,309,6.53594444444445,34.8492222222222,16.7597777777778,12493.3333333333,276.140462431744,50.7708584162246,117,0.79435754599603,0.036726425202199,38.7724121465073,0.189088084007331,29.4
2013-09-26 10:00:00-05:00,309,6.53532222222223,34.8716666666667,16.7685555555556,12293.3333333333,276.217002288973,50.7871639900138,118,0.785777999122204,0.036945775592363,38.7731433144745,0.189819251974542,28.9
2013-09-26 11:30:00-05:00,309.011111111111,6.52411111111111,34.8908888888889,16.7646666666667,12510,276.303477479583,50.805586125258,118,0.794080786449536,0.03713363508493,38.7737695127831,0.190445450283099,26.95
2013-09-26 13:00:00-05:00,309.011111111111,6.49752222222222,34.9133333333333,16.7527777777778,13106.6666666667,276.380019905571,50.8218922462797,118,0.816995191813729,0.037352985475094,38.7745006807503,0.191176618250312,22.8
2013-09-26 14:30:00-05:00,309.177777777778,6.4862,34.9232222222222,16.7662222222222,13656.6666666667,276.605688324383,50.8699672386832,118,0.836758072412592,0.037449629953928,38.7748228290131,0.191498766513094,20.85
2013-09-26 16:00:00-05:00,309.811111111111,6.51007777777777,34.9135555555556,16.753,13670,277.249034377043,51.0070216690607,118,0.835455354804503,0.037355157261135,38.7745079200371,0.191183857537117,20
2013-09-26 17:30:00-05:00,309.955555555556,6.52244444444444,34.8712222222222,16.7515555555556,13870,277.455064234855,51.0509129849185,118,0.839723278764048,0.03694143202028,38.773128835901,0.189804773400934,17.75
2013-09-26 19:00:00-05:00,309.966666666667,6.46923333333333,34.8565555555555,16.7332222222222,14003.3333333333,277.541788992677,51.069388286405,118,0.844178415459973,0.03679809414156,38.7726510429719,0.189326980471865,16.7
2013-09-26 20:30:00-05:00,309.855555555556,6.47737777777779,34.8391111111111,16.7318888888889,14290,277.519058389158,51.0645459004067,118,0.853773913397519,0.036627608937324,38.7720827589577,0.188758696457745,17.5
2013-09-26 22:00:00-05:00,309.955555555556,6.43370000000001,34.8183333333333,16.7321111111111,14480,277.685393885043,51.0999809769815,118,0.859998232647349,0.036424546942468,38.7714058856415,0.188081823141558,17.2
2013-09-26 23:30:00-05:00,310,6.44106666666666,34.7925555555556,16.736,14453.3333333333,277.801996476535,51.1248212657986,118,0.85866133158865,0.036172619761686,38.7705661283723,0.187242065872285,15.85
2013-09-27 01:00:00-05:00,309.988888888889,6.45355555555556,34.7692222222222,16.748,14406.6666666667,277.868824757677,51.1390579459914,118,0.856691896048179,0.035944582227357,38.7698060032579,0.186481940757856,16.1
2013-09-27 02:30:00-05:00,310,6.46287777777778,34.7654444444445,16.7474444444445,14203.3333333333,277.955571594599,51.1575379510714,118,0.849354997091774,0.035907661864656,38.7696829353822,0.186358872882185,21.1
2013-09-27 04:00:00-05:00,309.622222222222,6.48172222222223,34.7425555555555,16.7613333333333,13853.3333333333,277.693530865314,51.1017144285063,118,0.839251392285963,0.035683967902409,38.7689372888413,0.185613226341362,25.6
2013-09-27 05:30:00-05:00,309.133333333333,6.48136666666668,34.748,16.7607777777778,13423.3333333333,277.331635160187,51.0246184247038,118,0.824730400175555,0.035737176660419,38.769114651368,0.185790588868062,27.25
2013-09-27 07:00:00-05:00,309.011111111111,6.48513333333334,34.7456666666667,16.7651111111111,13300,277.298529996002,51.0175659070095,118,0.819741734183796,0.035714372906986,38.7690386388566,0.185714576356619,28.3
2013-09-27 08:30:00-05:00,309,6.50713333333333,34.7767777777778,16.7697777777778,13036.6666666667,277.365100147401,51.0317475968518,118,0.809375721899744,0.036018422952759,38.7700521390092,0.186728076509195,28.3
